<Wyl_Present>	<Wyl_Past>	<Wyl_Future>	<Wyl_Imperative>
kum	kum	kum	
ker	ker	ker	ker
klan	klan	klan	
klas	bklas	klas	
klub	bklubs	bklub	klubs
klog	bklags	bklag	klogs (lhogs)
dka'	dka'	dka'	
dku 	dku	dku 	
dkon	dkon	dkon	
dkyu	dkyus	dkyu	dkyus
dkri	dkris	dkri	dkris
dkrig	dkrigs	dkrig	dkrigs
dkrug	dkrugs	dkrug	dkrugs
dkrum	dkrums	dkrum	dkrums
dkrog	dkrogs	dkrog	dkrogs
dkrol	dkrol	dkrol	dkrol
dkros	bkros	bkros	dkros
bkan	bkan	bkan	bkan
bku	bkus	bku	bkus
bkur 	bkur	bkur 	bkur
bkong 	bkong	bkong 	bkong
bkol 	bkol	bkol 	khol
bkyon	bkyon	bkyon	bkyon
bkra	bkra	bkra	
bkrab	bkrabs	bkrab	bkrobs
bkral 	bkral	bkral 	bkrol
bkri	bkris	bkri	bkris
bkres	bkres	bkres	
rku	brkus	brku	rkus
rkug	brkugs	brkug	rkugs
rko	brkos	brko	rkos
rko	brkos	brko	rkos
rkon	brkon	brkon	rkon
rkyal	rkyal	rkyal	rkyol
rkyong	brkyangs (rkyang)	brkyang (rkyang)	rkyongs
lkug	lkugs	lkug	lkugs
ska	ska	ska	
skad	skad	skad	
skam	bskams	bskam	
skug	bskugs	bskug	skugs
skung	bskungs	bskung	skungs
skud	bskus	bsku	skus
skum	bskums	bskum	skums
skur	bskur	bskur	skur
skul	bskul	bskul	skul
skem	bskams	bskam	skoms
sko	bskos	bsko	skos
skong	bskangs	bskang	skongs
skong	bskongs	bskong	skongs
skon	bskon	bskon	skon
skom 	skoms	skom 	
skor	bskor	bskor	skor
skol	bskol	bskol	skol
skya	skya	skya	
skya	bskyas	bskya	skyos
skyad	bskyad	bskyad	skyad
skyi	bskyis	bskyi	skyis
skyig	bskyigs	bskyig	skyigs
skyid	skyid	skyid	
skyin	bskyin	bskyin	skyin
skyil	bskyil	bskyil	skyil
skyug	bskyugs	bskyug	skyugs
skyung	bskyungs	bskyung	skyungs
skyud	bskyud	bskyud	skyud
skyur	bskyur	bskyur	skyur
skye	skyes	skye	skyes
skye	skyes	skye	skyes
skyeng	bskyengs	bskyeng	skyengs
skyengs	skyengs	skyengs	
skyed	bskyed	bskyed	skyed
skyel	bskyal	bskyal	skyol
skyel	bskyal	bskyal	skyol
skyel	bskyal	bskyal	skyol
skyel	bskyal	bskyal	skyol
skyo	skyo	skyo	
skyog	bskyogs	bskyog	skyogs
skyong	bskyangs	bskyang	skyongs
skyod	bskyod	bskyod	skyod
skyon	bskyon	bskyon	skyon
skyob	bskyabs	bskyab	skyobs
skyom	bskyams	bskyam	skyoms
skyor	bskyar	bskyar	skyor
skyor	bskyor	bskyor	skyor
skrag	skrags	skrag	skrags
skrang	skrangs	skrang	skrangs
skrab	bskrabs	bskrab	skrabs
skru	bskrus	bskru	skrus
skrun	bskrun	bskrun	skrun
skrog	bskrogs	bskrog	skrogs
skrog	bskrogs	bskrog	skrogs
skrod	bskrad	bskrad	skrod
skrol	bskrol	bskrol	skrol
brkam (rkam)	brkam	brkam	
bskal	bskal	bskal	
khad	khad	khad	
khug	khugs	khug	
khul	khul	khul	khul
kheg 	khegs	kheg 	
kheng	khengs	kheng	khengs
khebs 	khebs	khebs 	
khom 	khom	khom 	
khyag	khyag	khyag	khyag
khyab	khyab	khyab	khyab
khyab	khyab	khyab	khyab
khyab	khyab	khyab	khyab
khyog  	khyog	khyog 	
khrems	khrems	khrems	
khrel 	'khrel	'khrel 	
khro	khros	khro	khros
mkhas	mkhas	mkhas	mkhas
mkho	mkho	mkho	mkho
mkhyud	mkhyud	mkhyud	mkhyud
mkhyen	mkhyen	mkhyen	mkhyen
'khang	'khangs	'khang	'khangs
'kham	'khams	'kham	'khams
'khar	'khar	'khar	'khar
'khal	bkal	bkal	'khal ('khol)
'khal	bkal	bkal	'khal ('khol)
'khu	'khu	'khu	'khu
'khun 	'khun	'khun 	
'khum	'khums (khums)	'khum	'khums (khums)
'khur	khur	'khur	khur
'khul	'khul	'khul	'khul
'kheng 	'khengs	'kheng 	
'kheb	'khebs	'kheb	khebs
'khel	khel	'khel	khel
'khod	'khod	'khod	khod
'khon 	'khon	'khon 	
'khob 	'khob	'khob 	
'khor	'khor	'khor	'khor
'khol	bkol	bkol (bskol)	khol
'khol	khol	'khol	
'khyag	'khyags	'khyag	'khyags
'khyam	'khyams	'khyam	'khyams
'khyar	'khyar	'khyar	khyar
'khyal 	'khyal	'khyal 	
'khyal	bkyal	bkyal	'khyal
'khyal	khyal	'khyal	khyal
'khyig	bkyigs	bkyig	'khyigs (khyigs)
'khyig	bkyigs	bkyig	'khyigs (khyigs)
'khyir	'khyir	'khyir	khyir
'khyil	'khyil	'khyil	khyil
'khyug 	'khyugs	'khyug 	
